Gender,Age,Education,Credit_Score,Annual_Income,Loan_Amount,Years_Employed,Credit_Approved
Male,64,Bachelors,736,91670,27195,16,1
Male,29,High School,639,101474,10606,25,1
Male,62,High School,688,79028,8956,20,1
Male,53,Bachelors,638,115022,21555,7,1
Female,45,Masters,823,116632,29849,20,1
Male,60,Bachelors,568,96128,23690,24,1
Male,22,Bachelors,703,43108,31347,10,1
Female,25,High School,809,77495,38189,5,1
Male,24,Doctorate,657,107806,43308,7,1
Female,24,Masters,834,118185,30785,9,1
Female,42,High School,608,101533,37698,23,1
Male,28,Doctorate,674,81830,20966,28,1
Male,54,Bachelors,822,99640,36097,2,1
Male,39,Bachelors,656,77509,20882,22,1
Male,61,Masters,848,91406,9675,13,1
Male,54,Masters,794,119220,46850,22,1
Female,37,Bachelors,796,64519,18009,13,1
Male,36,High School,557,74649,32843,9,1
Male,43,Bachelors,690,59524,34793,11,1
Male,22,Doctorate,557,58885,44516,5,0
Female,51,High School,643,69369,43871,11,0
Male,54,Bachelors,588,55676,22857,22,1
Male,57,Bachelors,630,89093,24627,13,1
Male,32,Bachelors,736,72764,23565,1,1
Female,44,Bachelors,633,75799,31025,8,0
Male,28,Doctorate,637,104414,32832,9,1
Female,23,High School,791,118095,49116,25,1
Female,33,High School,642,97307,14782,16,1
Male,56,High School,635,107062,43650,16,1
Female,53,Masters,593,56923,27366,2,0
Male,30,Bachelors,686,103388,33557,29,1
Female,60,High School,623,72574,10798,18,1
Female,22,Masters,585,68391,14627,0,0
Male,47,Masters,650,78664,46183,11,1
Male,48,Masters,705,92384,17466,6,1
Female,28,Doctorate,804,56027,47614,3,0
Male,22,High School,720,60464,17720,9,1
Male,44,Masters,765,59485,46913,12,1
Male,53,Bachelors,719,44456,42292,1,0
Female,31,Masters,801,99795,11559,9,1
Female,61,Masters,604,60554,45388,20,1
Male,28,Masters,640,71922,24158,21,1
Male,34,Bachelors,827,38409,35916,24,1
Male,59,High School,650,94327,27057,3,1
Female,44,Bachelors,704,116400,40892,17,1
Male,24,Doctorate,690,61639,46439,4,0
Female,30,Doctorate,722,88627,16706,18,1
Male,53,High School,559,108424,17070,1,1
Female,43,High School,777,44692,45902,11,0
Male,34,High School,814,114037,5924,16,1
Male,57,Masters,797,103840,31478,9,1
Male,27,Masters,796,79200,10506,1,1
Female,24,High School,704,118063,40163,5,1
Female,45,Bachelors,583,82415,29604,7,0
Male,37,Masters,678,43074,20310,28,1
Female,25,Masters,709,40549,13226,18,1
Female,56,Bachelors,638,54963,16781,10,0
Female,32,Bachelors,642,116456,10515,24,1
Male,47,Bachelors,790,77265,41133,11,1
Male,24,High School,666,41061,21972,8,0
Male,32,Bachelors,643,83226,37092,1,0
Female,36,Bachelors,712,53810,16410,7,0
Female,59,Masters,648,85006,24522,25,1
Female,64,Bachelors,662,47800,14095,10,0
Male,51,Masters,640,100476,28047,27,1
Male,48,High School,755,94460,25470,20,1
Female,22,Bachelors,566,82767,48129,3,0
Female,59,High School,823,53054,13531,9,1
Female,53,High School,722,100319,42038,20,1
Female,59,Masters,665,70397,27403,19,1
Female,46,Doctorate,730,38233,47674,15,0
Male,32,High School,640,115020,34122,7,1
Male,64,Bachelors,631,50068,21940,3,0
Female,52,Masters,663,90727,34831,28,1
Female,25,High School,806,115610,16279,9,1
Male,43,Bachelors,607,95453,43220,11,1
Male,38,Masters,703,50832,11477,28,1
Female,35,Bachelors,665,111242,22400,13,1
Male,59,High School,815,38682,11470,15,1
Male,47,Bachelors,752,117298,7062,21,1
Male,52,Masters,590,48383,46798,17,1
Female,60,Bachelors,654,83160,24880,20,1
Female,32,High School,742,118332,39581,21,1
Male,62,Masters,827,48666,49439,20,1
Female,64,High School,786,83817,19308,11,1
Male,44,Masters,770,116198,31027,17,1
Male,61,High School,617,59642,35720,29,1
Female,55,Doctorate,746,66830,40081,6,0
Female,46,Bachelors,805,35234,14706,19,1
Female,57,Bachelors,688,82616,14837,23,1
Female,26,High School,698,34221,43599,22,1
Female,24,Bachelors,648,36410,41824,6,0
Male,62,Masters,625,105055,38073,8,1
Male,64,Doctorate,831,86413,37088,0,1
Male,50,Bachelors,658,26051,33112,25,1
Male,42,Bachelors,737,100301,31299,5,1
Female,61,Masters,748,101918,39457,5,1
Male,29,Masters,703,103116,35063,21,1
Female,51,Bachelors,589,81563,8917,28,1
Female,62,Bachelors,682,69757,7936,11,1
Female,49,Bachelors,681,102475,41630,21,1
Male,58,Bachelors,828,76257,19506,11,1
Female,50,High School,633,25307,33805,9,0
Male,37,Bachelors,791,81889,19318,22,1
Male,55,Bachelors,665,93895,31026,29,1
Female,21,Masters,658,60944,32672,25,1
Male,33,High School,770,63134,43417,5,1
Male,32,Bachelors,590,52323,32281,16,1
Female,48,Bachelors,696,96762,33091,18,1
Male,31,Bachelors,661,112225,43328,17,1
Female,58,High School,652,50954,23610,5,0
Female,21,Bachelors,595,80021,6079,23,1
Female,51,Bachelors,820,114959,34850,18,1
Male,32,Bachelors,744,104866,25590,9,1
Male,46,Bachelors,829,95427,35951,23,1
Female,60,Bachelors,832,29992,20327,7,0
Male,36,Masters,589,26961,17755,20,1
Female,59,High School,738,37497,12235,23,1
Female,50,Masters,713,57551,22197,5,0
Female,53,Bachelors,573,101384,26473,20,1
Male,43,High School,573,80755,7031,24,1
Male,64,High School,553,38255,46282,29,1
Female,54,Bachelors,839,29567,46863,6,0
Male,25,Masters,730,73847,19287,23,1
Male,38,Masters,797,73003,43679,0,1
Female,49,Masters,665,45389,49463,26,1
Female,26,Bachelors,828,69523,37230,17,1
Female,29,Bachelors,618,86576,24037,23,1
Female,60,High School,803,68919,32052,27,1
Male,51,Bachelors,730,107103,8340,24,1
Female,53,Bachelors,718,28358,45644,19,1
Female,47,High School,798,113535,6141,11,1
Male,34,High School,737,101524,30425,15,1
Male,49,Bachelors,603,30698,24281,9,0
Female,56,Masters,687,91809,47049,26,1
Female,48,Doctorate,717,118079,25425,9,1
Female,41,Doctorate,652,80805,39806,13,1
Female,23,Bachelors,634,56349,37113,24,1
Male,39,Bachelors,761,101777,9270,19,1
Male,51,Bachelors,552,75248,47814,9,1
Female,55,Masters,728,100033,9683,9,1
Female,23,High School,587,69041,44884,25,1
Female,46,Bachelors,788,56954,34809,24,1
Female,36,Masters,718,33002,39552,10,0
Male,31,Bachelors,579,94783,8786,22,1
Male,41,Bachelors,739,112234,26650,1,1
Female,36,Bachelors,574,44738,33706,24,1
Female,29,High School,661,35703,14190,19,0
Female,20,Bachelors,755,74422,43196,7,1
Female,41,Bachelors,734,108106,44449,29,1
Female,45,High School,596,86899,44661,22,1
Male,37,High School,777,37392,34709,28,1
Male,33,Masters,588,69724,19892,6,0
Male,48,High School,565,57299,14643,7,0
Female,31,Bachelors,571,40641,14943,0,0
Male,55,High School,762,104534,48240,20,1
Male,54,Doctorate,698,31305,26042,1,0
Male,31,High School,790,43782,48894,17,1
Male,26,Bachelors,821,103257,11869,14,1
Female,48,Masters,608,102963,45437,0,0
Male,30,Masters,836,45566,49306,4,1
Male,52,High School,751,92766,47833,1,1
Female,25,Masters,581,31511,25918,19,0
Male,34,Bachelors,711,51177,33379,2,0
Male,51,Bachelors,804,29765,47939,18,1
Male,30,High School,803,45354,30274,17,1
Female,42,High School,558,48929,22696,28,1
Male,45,Masters,688,53820,7962,21,1
Female,53,Bachelors,559,54523,18851,17,0
Male,53,Bachelors,763,96088,10296,13,1
Male,48,Masters,822,91163,19745,29,1
Male,23,Masters,597,102525,10730,23,1
Male,36,High School,660,38780,18921,7,0
Female,54,Bachelors,702,31589,37894,28,1
Female,32,High School,672,59812,10602,29,1
Female,60,Masters,651,118664,22575,11,1
Male,58,Bachelors,790,70939,24023,20,1
Male,34,Doctorate,740,76493,20997,9,1
Female,48,High School,766,118326,22750,22,1
Male,48,High School,600,65953,46979,19,1
Male,30,High School,841,90785,27837,16,1
Male,51,High School,630,44309,19997,10,0
Male,21,High School,637,79195,44439,1,0
Female,33,Doctorate,743,50901,28067,25,1
Female,39,High School,653,48576,25923,25,1
Female,41,High School,820,56508,13876,3,0
Male,30,Masters,645,99711,7887,0,1
Male,46,Bachelors,747,50464,47422,14,1
Male,22,Masters,550,85281,41854,12,1
Male,36,High School,716,41260,41948,7,0
Male,63,Bachelors,675,60440,7841,24,1
Female,47,High School,630,81683,33756,3,0
Female,48,High School,800,66430,11040,9,1
Male,40,Doctorate,718,26987,15304,18,1
Female,35,High School,622,50105,35341,17,0
Female,56,Bachelors,690,103484,9758,4,1
Female,39,Bachelors,619,38026,22010,29,1
Female,25,Bachelors,811,93309,36658,18,1
Male,38,Masters,794,70927,42782,25,1
Male,24,High School,552,100414,6375,22,1
Male,22,Bachelors,612,82535,38949,26,1
Female,20,Doctorate,598,67946,27092,21,1
Male,57,Bachelors,625,81561,5490,15,1
Male,34,Doctorate,724,35377,8729,0,0
Male,53,High School,658,78592,10974,11,1
Male,54,Bachelors,732,32347,24680,23,1
Female,44,High School,741,58776,23324,1,0
Female,43,Masters,614,28783,36334,20,0
Male,31,Doctorate,820,80798,26398,24,1
Male,37,High School,649,29298,39650,7,0
Male,34,Bachelors,581,95204,26292,17,1
Male,63,High School,677,111207,40755,24,1
Male,35,Bachelors,592,80161,43353,15,1
Male,46,Bachelors,627,85652,8159,4,1
Male,27,Doctorate,838,59484,37626,25,1
Female,44,Bachelors,819,45922,34351,29,1
Female,36,Bachelors,711,59028,42298,21,1
Male,48,High School,738,45316,22065,12,1
Male,27,High School,796,101996,26638,18,1
Female,34,High School,765,41968,6073,28,1
Male,46,High School,717,55266,23771,2,0
Female,26,Masters,742,49000,40461,25,1
Female,22,Bachelors,832,39011,47330,7,0
Male,48,Bachelors,562,27866,34320,26,1
Male,63,High School,789,30898,9340,25,1
Female,43,Masters,696,43395,39924,25,1
Male,22,Masters,753,64019,21184,11,1
Female,39,High School,629,29006,45734,1,0
Female,34,Masters,592,59393,7580,10,0
Female,44,Bachelors,638,35956,45025,11,0
Male,49,High School,697,75042,33967,27,1
Female,33,Bachelors,644,31078,7159,17,0
Male,26,Bachelors,700,54631,18900,12,1
Male,36,High School,551,87901,16440,4,0
Female,63,Doctorate,571,94497,19678,21,1
Male,39,Masters,556,119813,17021,11,1
Female,55,Bachelors,755,66574,11772,1,0
Female,28,Bachelors,663,56417,6627,4,0
Male,57,Bachelors,821,113020,49432,6,1
Male,41,Bachelors,632,108639,13219,25,1
Male,21,Bachelors,728,90006,28464,25,1
Male,43,High School,759,119881,35232,23,1
Male,27,Bachelors,673,64454,47481,11,1
Female,30,Masters,662,26587,13488,15,0
Male,32,Bachelors,561,79710,39949,22,1
Male,36,High School,675,111567,49362,7,1
Female,27,Masters,602,116748,44932,29,1
Male,40,High School,832,100886,23981,27,1
Female,37,High School,689,43816,5901,8,0
Male,49,High School,646,110824,27444,14,1
Male,37,Bachelors,554,54432,47058,4,0
Female,50,Masters,606,73617,23061,12,0
Female,57,Bachelors,618,97373,7881,4,0
Female,51,High School,667,59217,34863,10,0
Female,30,Masters,608,45884,10622,9,0
Female,64,Masters,582,30454,6378,19,0
Male,44,Masters,599,99960,22632,12,1
Male,52,High School,568,68618,33311,8,0
Female,57,Bachelors,763,108948,10650,20,1
Female,60,Doctorate,746,87671,47224,13,1
Female,27,Masters,596,72111,12036,17,1
Male,30,High School,716,64613,44255,14,1
Male,41,High School,838,110678,27499,9,1
Female,43,Bachelors,690,84993,42016,23,1
Male,60,Doctorate,633,33848,9603,6,0
Female,36,Bachelors,731,103672,32773,7,1
Female,31,Bachelors,628,91125,24937,27,1
Male,51,High School,764,111444,17632,2,1
Female,34,Bachelors,563,86602,35607,14,1
Female,35,Masters,764,97045,31337,15,1
Male,41,Bachelors,677,67222,5220,3,0
Female,47,Masters,797,74223,9818,20,1
Male,39,Doctorate,578,90333,12349,5,1
Female,52,High School,829,77732,10618,0,0
Male,29,Bachelors,751,74420,32464,3,1
Female,59,High School,606,100504,47624,10,1
Male,51,Masters,767,27462,42344,11,1
Male,52,Bachelors,611,34460,23255,25,1
Female,21,Bachelors,706,34275,29299,28,1
Male,52,Masters,751,119213,6462,4,1
Male,52,Bachelors,566,38269,20905,22,1
Female,60,Doctorate,555,90942,29920,28,1
Female,32,Bachelors,607,97920,21252,20,1
Female,49,High School,718,47553,46004,15,1
Female,52,Bachelors,631,49366,45581,12,0
Male,32,Masters,768,69036,39836,12,1
Male,45,Bachelors,726,42369,10753,16,1
Male,41,Masters,753,36795,45005,26,1
Female,58,Doctorate,620,95021,19175,6,0
Female,21,High School,815,93154,11191,7,1
Female,57,Doctorate,647,55143,22898,12,0
Female,58,High School,840,54425,23982,22,1
Male,45,High School,757,113209,19622,26,1
Male,34,High School,551,100139,6001,15,1
Male,53,Masters,673,30368,48000,29,1
Male,61,Bachelors,829,29621,28283,28,1
Male,63,High School,623,83829,26435,3,0
Female,59,Bachelors,715,85294,32223,7,1
Male,30,Bachelors,571,39719,42244,15,0
Male,22,High School,703,54227,35024,20,1
Male,25,Masters,844,32566,35734,9,1
Female,28,Masters,768,37306,5515,24,1
Female,25,Bachelors,706,78822,6191,11,1
Male,28,Doctorate,779,49042,37264,11,1
Male,58,Bachelors,569,40086,48628,25,1
Female,50,Doctorate,590,42387,11297,4,0
Male,51,Bachelors,697,52042,32856,15,1
Female,60,Bachelors,657,114424,13334,0,1
Female,31,High School,633,76618,29162,27,1
Male,27,Masters,839,117050,11008,8,1
Male,27,Bachelors,683,43323,12987,11,1
Female,47,High School,756,43019,35966,4,0
Male,39,High School,832,100426,8332,21,1
Male,26,Bachelors,815,65863,5787,19,1
Female,30,Bachelors,622,35283,43990,21,0
Female,39,Masters,597,43279,14873,27,1
Female,35,Masters,782,71999,22006,23,1
Female,23,High School,649,87780,25225,2,0
Male,25,Masters,608,47908,41444,4,0
Male,41,High School,807,86584,40340,1,1
Female,45,Masters,614,75225,44683,13,1
Female,22,Masters,632,62952,10033,1,0
Male,60,Bachelors,703,62663,12788,12,1
Female,61,Masters,815,86381,20689,6,1
Male,33,Bachelors,628,72929,49220,9,1
Male,30,Bachelors,699,34343,26598,12,0
Male,37,Masters,597,101173,42480,15,1
Male,31,Bachelors,797,64791,34703,25,1
Male,42,Bachelors,827,54134,5066,13,1
Male,31,Bachelors,647,72101,12533,10,1
Male,32,Masters,574,94443,20103,9,1
Female,44,Bachelors,833,82530,9616,5,1
Female,64,High School,617,71799,43498,3,0
Female,38,Masters,556,29827,48492,20,0
Female,55,Masters,686,87653,16772,0,0
Male,64,High School,713,38699,28849,6,0
Male,27,High School,632,116419,17940,23,1
Female,48,High School,687,30313,21932,8,0
Male,51,Bachelors,622,38598,34769,7,0
Female,63,Bachelors,786,53807,29648,4,0
Male,37,Masters,595,95423,37966,18,1
Female,25,Bachelors,655,94390,32777,9,1
Male,37,Bachelors,837,70226,37567,10,1
Female,38,Bachelors,811,84550,22174,24,1
Male,41,Masters,725,105072,47598,14,1
Female,56,Bachelors,715,28558,18798,5,0
Male,51,Doctorate,694,100308,22558,14,1
Female,60,Bachelors,832,75113,49237,4,1
Female,22,High School,603,77999,5178,28,1
Male,47,Bachelors,727,80878,25470,18,1
Female,29,Bachelors,793,61343,22118,21,1
Female,54,Bachelors,676,83219,27616,18,1
Male,48,High School,820,60186,5798,9,1
Female,34,High School,681,61966,12601,11,0
Female,52,Masters,642,58769,30363,21,1
Female,26,High School,622,78218,7795,3,0
Male,31,Masters,797,44229,36926,17,1
Male,49,High School,822,100209,42356,15,1
Female,40,Bachelors,592,52877,12297,7,0
Female,50,Bachelors,590,83001,8084,3,0
Male,43,Bachelors,719,63084,35329,24,1
Female,39,Bachelors,761,106780,16110,22,1
Male,56,High School,717,117892,5731,11,1
Male,23,High School,588,41806,6129,1,0
Male,47,Bachelors,794,113635,33022,3,1
Male,63,Bachelors,700,62034,6605,4,0
Female,39,Doctorate,660,65317,16970,2,0
Male,43,Masters,596,80468,48705,8,1
Female,51,Masters,612,44094,49130,28,1
Female,60,Masters,774,82796,34265,20,1
Female,55,Bachelors,618,35589,37330,17,0
Male,53,High School,848,82221,7933,10,1
Male,55,Doctorate,839,26657,20187,2,0
Female,21,Bachelors,845,64531,30791,29,1
Female,34,Bachelors,752,77227,29900,24,1
Male,53,High School,610,28164,10074,22,1
Female,55,Bachelors,710,118078,31426,1,1
Female,25,Bachelors,565,108973,44867,8,1
Female,58,Masters,643,66247,5893,13,1
Female,61,Bachelors,687,44601,39158,3,0
Female,31,Bachelors,587,118966,24773,28,1
Male,22,Doctorate,676,75599,9239,8,1
Female,64,High School,824,96545,25863,12,1
Female,37,Bachelors,713,29552,8432,17,0
Male,59,High School,626,34417,40139,14,0
Male,40,Masters,723,83579,6515,27,1
Male,34,Doctorate,640,93207,36670,9,1
Female,52,High School,787,97055,44094,15,1
Female,54,Masters,813,103270,19605,11,1
Male,45,High School,728,28722,10586,19,1
Female,27,Doctorate,758,95442,40685,4,1
Male,55,Masters,622,65031,36186,1,0
Female,49,Masters,656,104235,31928,9,1
Female,42,High School,844,46438,37728,0,0
Female,61,Doctorate,833,83819,22551,6,1
Male,63,Masters,731,68856,26493,25,1
Male,33,Bachelors,586,58576,25711,16,1
Male,33,Masters,686,66938,25039,15,1
Male,21,High School,605,74028,41561,26,1
Female,56,Masters,736,84807,14947,26,1
Female,24,High School,807,74877,37335,23,1
Female,57,Masters,607,68461,20859,2,0
Female,64,Bachelors,672,118474,28122,13,1
Female,60,High School,737,65469,6577,9,1
Female,33,High School,779,108136,47256,21,1
Female,58,High School,717,45435,33350,6,0
Female,44,Bachelors,663,109117,46932,25,1
Male,39,Bachelors,801,39191,38798,16,1
Male,21,Bachelors,656,109726,36898,29,1
Male,58,High School,586,52386,20881,5,0
Female,25,High School,641,56721,15785,22,1
Female,36,Masters,567,79786,11691,21,1
Male,44,High School,612,38704,22297,3,0
Female,47,Doctorate,699,81635,11358,16,1
Female,21,Masters,688,27123,24581,26,1
Male,54,Bachelors,735,115710,6462,8,1
Male,56,Bachelors,734,87993,20511,3,1
Female,24,Masters,754,105122,15570,6,1
Male,20,High School,809,50416,49414,22,1
Female,59,High School,763,26814,20474,1,0
Male,31,High School,805,103537,12037,16,1
Female,55,Masters,684,75258,33129,23,1
Female,64,High School,610,41508,47267,7,0
Female,42,Bachelors,637,110166,18386,22,1
Female,50,Doctorate,756,103916,11221,29,1
Male,30,Masters,678,60699,28474,14,1
Male,29,Bachelors,552,71335,45537,14,1
Male,22,High School,791,71806,26045,7,1
Female,33,Masters,670,102853,30783,15,1
Female,35,Bachelors,651,88768,45157,18,1
Female,29,High School,587,60739,9922,10,0
Male,48,High School,682,59785,27706,1,0
Male,29,Doctorate,751,56980,47771,22,1
Male,31,Bachelors,570,114335,37479,23,1
Male,49,Masters,791,119702,10178,16,1
Female,60,Masters,658,110016,35022,27,1
Male,20,Bachelors,633,26609,20240,25,1
Male,24,Bachelors,632,91253,31220,15,1
Female,39,Bachelors,840,110481,41736,24,1
Male,27,Bachelors,618,116128,7716,14,1
Male,62,Bachelors,678,53141,21574,12,1
Female,31,Masters,745,55009,22719,14,1
Male,20,Bachelors,689,31782,13181,26,1
Female,39,Masters,832,117072,49066,3,1
Female,47,Bachelors,783,50933,25213,15,1
Female,62,Bachelors,572,102154,11380,29,1
Male,56,Bachelors,702,33307,5615,11,0
Female,56,Bachelors,826,117207,5463,29,1
Male,31,Masters,610,100874,36973,3,1
Male,56,High School,601,63346,14158,2,0
Male,63,Bachelors,702,75772,25651,21,1
Female,47,High School,786,97084,8158,16,1
Male,34,Bachelors,581,65149,25008,21,1
Male,25,Bachelors,604,111700,9938,17,1
Female,63,Bachelors,585,52526,43185,24,1
Male,39,Doctorate,659,110712,27388,17,1
Male,33,Bachelors,726,93477,13881,22,1
Male,21,Masters,844,30695,10603,27,1
Male,28,Bachelors,646,64169,39980,16,1
Male,56,Bachelors,762,72947,27504,11,1
Male,39,High School,686,72224,21766,22,1
Female,45,High School,555,70865,33386,20,1
Male,48,Bachelors,658,50553,16695,23,1
Male,20,Bachelors,584,85410,22796,3,0
Female,54,High School,588,115895,47543,11,1
Male,25,High School,699,49816,19559,25,1
Female,56,High School,667,80026,43914,22,1
Male,24,Doctorate,810,75705,38139,21,1
Male,52,Bachelors,636,86922,43333,20,1
Male,33,Bachelors,625,98914,13802,19,1
Male,31,High School,763,26881,13307,14,1
Male,61,Bachelors,834,64567,45205,22,1
Male,39,High School,788,72365,38214,27,1
Male,43,High School,714,104211,39159,15,1
Male,62,Bachelors,636,95122,16516,4,1
Male,53,High School,690,50006,34086,20,1
Male,44,High School,709,66198,35480,14,1
Male,48,High School,595,47831,49659,16,1
Male,58,High School,661,41459,43737,17,1
Female,50,High School,594,57443,14265,4,0
Male,62,Bachelors,796,67316,10454,12,1
Female,42,Masters,653,89486,40918,18,1
Female,63,Bachelors,634,30877,31181,29,1
Male,57,Bachelors,683,64553,20386,12,1
Female,39,High School,657,29922,44182,17,0
Female,42,Doctorate,567,29686,42425,13,0
Male,64,Bachelors,643,57766,48254,29,1
Male,35,High School,699,104943,29327,3,1
Female,61,Bachelors,795,57006,26181,3,0
Female,27,High School,838,56422,26452,19,1
Male,40,Bachelors,758,37205,43248,19,1
Male,20,Bachelors,675,111590,45801,18,1
Male,27,Masters,784,48527,38751,12,1
Male,48,Bachelors,671,43443,26991,11,0
Female,51,Masters,687,41524,46311,6,0
Male,57,Doctorate,664,53202,14916,24,1
Male,24,High School,711,90552,15143,11,1
Female,41,High School,750,71142,30855,20,1
Male,53,Bachelors,783,86692,20581,3,1
Male,20,Bachelors,577,107384,6907,26,1
Female,45,Bachelors,560,45855,34424,1,0
Female,62,Doctorate,755,108747,28308,1,1
Male,29,Masters,716,85372,46984,4,1
Male,49,Bachelors,796,50095,46505,22,1
Male,37,Bachelors,596,63724,41942,9,0
Male,36,Masters,795,74241,31957,9,1
Male,45,Doctorate,676,77003,30464,8,1
Male,27,Masters,696,93379,28649,12,1
Male,59,High School,667,119837,47065,6,1
Male,31,Bachelors,701,116996,32125,4,1
Male,46,High School,621,119283,39758,25,1
Male,27,High School,686,40972,10596,9,0
