alter,laufzeit_monate,kredit_betrag,sparkonto,beschaeftigung,Credit_Approved
55,24,3352,mittel,arbeitslos,1
34,60,2818,keins,mittel,0
62,60,9077,gering,lang,0
46,48,1718,hoch,kurz,1
63,6,12920,gering,lang,1
49,36,2768,gering,lang,1
71,24,337,gering,arbeitslos,1
25,24,8322,mittel,mittel,0
64,18,10583,mittel,kurz,1
70,36,13582,keins,mittel,1
45,60,10605,mittel,mittel,0
35,12,2192,gering,arbeitslos,1
25,12,7701,gering,arbeitslos,0
33,60,10087,gering,mittel,0
71,6,11455,gering,kurz,1
58,24,2998,gering,mittel,1
30,24,12173,gering,mittel,0
73,48,12552,gering,mittel,1
26,24,3371,gering,lang,1
20,18,5170,hoch,kurz,0
62,12,6125,hoch,arbeitslos,1
56,60,3568,gering,mittel,1
74,24,14164,keins,lang,1
44,36,8476,gering,mittel,0
69,12,1934,hoch,lang,1
39,48,14004,gering,lang,0
68,48,10849,keins,kurz,1
31,36,4269,gering,kurz,0
37,36,14469,gering,mittel,0
36,48,1999,gering,arbeitslos,1
20,6,958,gering,kurz,0
70,6,4666,gering,mittel,1
63,18,6562,hoch,mittel,1
72,18,13738,keins,kurz,1
60,60,8341,gering,lang,0
67,48,3580,gering,lang,1
46,18,8025,mittel,kurz,1
68,6,3126,gering,mittel,1
41,24,3435,gering,mittel,1
22,12,5727,gering,mittel,0
22,12,8069,gering,kurz,0
30,6,3887,gering,arbeitslos,1
40,60,2559,mittel,lang,0
44,18,12399,gering,mittel,0
58,18,5454,mittel,lang,1
60,48,5676,gering,arbeitslos,1
53,12,3411,mittel,mittel,1
22,24,1276,gering,mittel,0
30,60,10791,mittel,kurz,0
22,24,7727,hoch,mittel,0
70,60,7227,gering,kurz,1
49,48,6372,mittel,mittel,0
25,24,2434,gering,kurz,1
28,36,9503,gering,mittel,0
42,6,4770,mittel,arbeitslos,1
33,12,1610,mittel,kurz,1
57,60,12494,gering,arbeitslos,0
38,60,12663,gering,lang,0
25,60,4814,mittel,kurz,0
31,36,3428,mittel,mittel,1
73,18,10274,keins,kurz,1
46,6,6572,keins,mittel,1
57,6,4142,keins,mittel,1
36,24,6620,keins,mittel,1
65,60,9179,hoch,mittel,0
29,18,3188,mittel,mittel,1
54,36,13425,gering,mittel,0
71,12,6524,gering,kurz,1
54,6,14733,keins,lang,0
20,36,3434,keins,mittel,0
66,24,5742,mittel,arbeitslos,1
64,18,527,gering,mittel,1
35,6,3793,hoch,arbeitslos,1
24,36,10532,gering,lang,0
59,48,682,mittel,kurz,1
64,6,9622,gering,kurz,1
41,6,8005,gering,kurz,1
65,6,10960,gering,lang,1
34,12,14535,gering,kurz,0
59,60,5426,keins,kurz,1
44,24,3736,gering,kurz,1
64,36,6001,gering,arbeitslos,1
68,18,10415,gering,mittel,1
19,36,6944,gering,kurz,0
54,24,5969,hoch,kurz,1
48,60,5665,gering,kurz,0
20,48,6252,gering,kurz,0
38,36,8923,gering,kurz,0
23,48,2912,hoch,mittel,0
49,60,2377,gering,arbeitslos,1
26,24,4538,gering,kurz,0
48,6,11023,gering,mittel,1
57,36,4743,gering,mittel,1
20,12,14044,gering,mittel,0
71,12,1031,mittel,mittel,1
31,6,6768,gering,lang,1
22,18,12907,gering,kurz,0
63,60,8431,gering,mittel,0
70,6,9652,gering,mittel,1
26,24,9916,keins,kurz,0
57,60,6847,mittel,lang,0
43,36,1524,mittel,mittel,1
25,60,6438,gering,lang,0
32,12,2544,gering,arbeitslos,1
47,48,12356,keins,mittel,0
63,24,7636,gering,mittel,1
39,60,4310,keins,lang,0
55,48,6916,gering,mittel,1
74,6,11835,mittel,mittel,1
67,12,14645,gering,lang,1
51,24,6597,hoch,kurz,1
59,6,8754,gering,lang,1
43,6,11321,gering,mittel,1
71,18,6993,keins,kurz,1
64,12,13300,gering,mittel,1
32,48,1297,gering,lang,1
27,24,11354,gering,mittel,0
33,18,907,gering,lang,1
25,36,9825,gering,kurz,0
20,18,4366,keins,kurz,0
49,60,975,gering,mittel,1
25,48,2252,mittel,mittel,0
59,6,14139,gering,kurz,1
74,36,1994,mittel,lang,1
29,6,2785,hoch,mittel,1
31,24,3436,gering,mittel,1
31,18,8496,mittel,mittel,0
44,24,9144,gering,lang,0
61,60,4285,gering,kurz,1
68,18,13635,keins,kurz,1
26,60,9764,gering,arbeitslos,0
32,24,4231,hoch,lang,1
63,6,11591,keins,kurz,1
20,48,11411,gering,arbeitslos,0
74,36,9220,hoch,kurz,1
60,36,9042,gering,kurz,1
33,36,4824,gering,mittel,0
42,6,14744,keins,mittel,0
52,60,10392,hoch,kurz,0
22,24,14372,gering,mittel,0
36,6,8029,keins,mittel,1
43,24,3827,gering,mittel,1
65,24,9810,gering,lang,1
42,6,2456,gering,lang,1
24,24,11600,gering,kurz,0
52,48,10147,gering,lang,0
69,36,12167,gering,mittel,1
56,24,11051,gering,mittel,1
21,24,11786,mittel,kurz,0
37,12,4671,gering,arbeitslos,1
65,36,510,gering,kurz,1
64,36,2124,mittel,lang,1
54,18,13663,gering,mittel,0
37,12,7332,gering,lang,1
46,36,8773,mittel,kurz,0
65,60,441,gering,kurz,1
73,12,14492,gering,mittel,1
74,36,6705,gering,lang,1
28,18,7672,gering,mittel,0
36,6,4445,gering,kurz,1
22,12,3791,gering,lang,0
30,12,9670,gering,mittel,0
45,18,1255,gering,mittel,1
47,24,9927,gering,kurz,0
30,6,2367,mittel,mittel,1
29,12,7172,hoch,kurz,0
22,6,8855,gering,kurz,0
64,24,10096,keins,kurz,1
42,48,4412,mittel,mittel,1
44,24,9730,keins,lang,0
46,18,4232,gering,kurz,1
65,24,10496,gering,mittel,1
22,36,6525,gering,kurz,0
54,24,11545,keins,mittel,1
33,24,8197,gering,mittel,0
40,60,13657,hoch,mittel,0
73,60,7572,keins,mittel,1
67,12,2411,gering,kurz,1
42,60,14337,gering,mittel,0
42,18,532,mittel,kurz,1
55,36,6216,gering,mittel,1
23,6,4543,gering,arbeitslos,0
24,18,13738,keins,kurz,0
67,48,884,gering,mittel,1
28,36,6956,gering,kurz,0
21,60,5274,gering,lang,0
56,36,4558,gering,mittel,1
52,12,8814,mittel,kurz,1
24,12,9105,gering,mittel,0
28,36,12048,mittel,kurz,0
34,6,4321,gering,lang,1
47,60,14535,gering,mittel,0
21,6,9952,gering,kurz,0
29,60,13073,keins,mittel,0
55,60,4919,mittel,kurz,1
22,6,4642,hoch,mittel,0
67,48,14872,gering,kurz,0
22,24,9973,gering,arbeitslos,0
42,18,5732,mittel,mittel,1
46,60,9468,gering,kurz,0
74,24,10344,mittel,mittel,1
53,36,3662,gering,kurz,1
56,6,5133,gering,mittel,1
68,48,10389,mittel,kurz,1
42,6,6302,gering,lang,1
40,60,9214,gering,lang,0
44,36,10121,gering,mittel,0
36,18,9428,keins,mittel,0
21,36,5904,gering,mittel,0
64,36,10073,mittel,mittel,1
29,6,14079,keins,lang,0
27,6,14647,gering,kurz,0
72,48,1408,gering,mittel,1
51,18,13256,gering,kurz,0
44,12,6071,gering,kurz,1
54,6,10735,mittel,kurz,1
22,12,2594,gering,lang,0
70,6,2599,hoch,lang,1
20,60,13896,mittel,arbeitslos,0
26,18,4220,keins,mittel,1
25,48,5359,gering,kurz,0
54,48,3244,mittel,mittel,1
52,60,4352,keins,kurz,1
58,24,13028,gering,kurz,0
37,6,12507,mittel,kurz,0
47,36,6394,gering,kurz,1
57,18,319,gering,mittel,1
24,12,10297,hoch,mittel,0
28,6,279,hoch,kurz,1
59,24,7996,mittel,mittel,1
60,24,10311,gering,lang,1
23,24,8748,gering,mittel,0
42,6,7166,gering,lang,1
59,60,13166,keins,kurz,0
40,48,3620,mittel,lang,1
44,24,1393,gering,kurz,1
69,36,10768,gering,kurz,1
55,12,1201,gering,lang,1
63,48,404,hoch,mittel,1
47,12,11389,gering,lang,1
54,36,11717,gering,kurz,0
38,12,10312,mittel,mittel,0
36,24,11674,mittel,kurz,0
58,24,14291,gering,kurz,0
63,36,13248,mittel,mittel,0
59,18,12113,mittel,mittel,1
72,36,8269,mittel,kurz,1
74,36,5474,gering,mittel,1
74,60,13301,gering,arbeitslos,0
33,6,5714,gering,kurz,1
33,6,9101,keins,lang,0
42,18,3315,gering,lang,1
47,60,4298,gering,mittel,0
72,36,10580,keins,arbeitslos,1
35,6,11997,gering,lang,0
67,36,6684,keins,arbeitslos,1
65,18,297,hoch,mittel,1
43,6,9282,keins,mittel,1
34,6,1622,gering,kurz,1
68,12,12938,gering,lang,1
35,48,7535,gering,mittel,0
65,24,10368,gering,kurz,1
65,36,3881,gering,mittel,1
39,60,1094,gering,kurz,1
62,18,14584,hoch,lang,1
66,36,4555,hoch,mittel,1
45,60,7969,hoch,lang,0
72,36,1051,mittel,mittel,1
23,36,14212,gering,mittel,0
40,18,4551,gering,arbeitslos,1
51,24,5220,mittel,lang,1
58,36,2444,gering,kurz,1
20,60,7938,gering,mittel,0
53,48,6678,gering,mittel,1
61,6,12792,gering,kurz,1
37,12,500,keins,kurz,1
58,24,6779,mittel,mittel,1
45,24,14497,mittel,kurz,0
58,36,10289,gering,kurz,1
54,18,10226,gering,kurz,1
57,24,14130,gering,arbeitslos,0
20,12,7453,gering,mittel,0
59,12,11214,gering,mittel,1
71,48,2064,mittel,kurz,1
36,48,8541,gering,mittel,0
64,18,11608,gering,lang,1
41,36,2709,gering,mittel,1
72,60,7288,gering,mittel,1
44,12,13385,gering,arbeitslos,0
29,6,7762,gering,mittel,1
66,12,3485,mittel,lang,1
19,48,7682,keins,arbeitslos,0
54,24,3381,gering,kurz,1
68,36,432,mittel,kurz,1
38,48,3587,gering,lang,0
49,24,8349,gering,kurz,1
26,12,8386,gering,kurz,0
58,60,6263,keins,arbeitslos,1
42,48,14714,gering,arbeitslos,0
72,48,8506,gering,mittel,1
38,18,3906,gering,mittel,1
73,24,8088,gering,lang,1
33,48,11836,gering,mittel,0
48,60,12324,gering,kurz,0
38,60,12236,mittel,kurz,0
56,24,10778,mittel,kurz,1
20,18,12927,mittel,kurz,0
24,6,2579,gering,lang,0
60,12,4711,gering,lang,1
36,18,5995,gering,lang,1
54,18,10660,gering,mittel,1
32,60,9389,keins,mittel,0
44,36,7659,hoch,kurz,0
52,24,14097,mittel,mittel,0
72,12,7565,mittel,lang,1
48,48,6701,gering,kurz,0
25,48,13731,keins,mittel,0
48,18,12975,gering,lang,0
36,12,8518,gering,lang,1
40,60,10571,gering,mittel,0
35,48,4502,hoch,mittel,0
49,24,9238,gering,mittel,1
74,24,11042,keins,kurz,1
35,12,431,hoch,mittel,1
49,48,9512,mittel,kurz,0
31,6,11069,mittel,kurz,0
45,6,5679,gering,kurz,1
38,48,4773,gering,kurz,0
35,48,11961,gering,lang,0
47,48,9192,mittel,arbeitslos,0
57,48,13359,gering,mittel,0
53,60,12247,mittel,mittel,0
26,36,9988,gering,mittel,0
61,12,2810,keins,arbeitslos,1
56,24,10350,mittel,mittel,1
33,36,9206,hoch,mittel,0
68,18,6056,gering,mittel,1
19,24,3925,gering,mittel,0
51,36,5441,gering,mittel,1
21,12,14787,gering,lang,0
57,48,6911,gering,lang,1
56,18,13397,mittel,mittel,0
66,12,3246,gering,mittel,1
33,48,5087,hoch,kurz,0
60,12,10248,gering,arbeitslos,1
36,24,997,hoch,mittel,1
56,48,10232,gering,mittel,0
49,48,12499,hoch,mittel,0
38,6,288,gering,mittel,1
25,18,9517,gering,mittel,0
55,24,3368,gering,mittel,1
45,6,4286,mittel,lang,1
26,12,10044,mittel,arbeitslos,0
32,60,14113,gering,mittel,0
68,18,13254,gering,kurz,1
33,6,11828,mittel,mittel,0
25,24,1846,mittel,kurz,1
51,18,6091,keins,lang,1
70,36,7851,gering,mittel,1
52,48,9238,gering,mittel,0
22,6,5393,gering,mittel,0
19,36,14027,gering,lang,0
59,24,8010,gering,kurz,1
32,36,9313,hoch,lang,0
49,48,2713,gering,mittel,1
56,6,3630,keins,lang,1
68,24,3677,hoch,lang,1
71,24,8255,gering,kurz,1
38,60,7286,mittel,arbeitslos,0
21,36,14095,gering,mittel,0
53,18,2185,mittel,mittel,1
64,18,7774,gering,kurz,1
51,48,1731,gering,kurz,1
33,6,7075,gering,kurz,1
21,6,5141,gering,mittel,0
46,18,1508,gering,mittel,1
45,18,1985,gering,arbeitslos,1
65,18,6356,mittel,lang,1
65,6,606,gering,kurz,1
51,12,2659,gering,arbeitslos,1
37,6,5668,mittel,kurz,1
74,18,850,keins,mittel,1
51,12,12515,gering,kurz,1
49,48,12756,gering,mittel,0
22,24,6667,mittel,mittel,0
50,6,6235,mittel,kurz,1
60,6,7046,gering,arbeitslos,1
46,18,1944,gering,mittel,1
74,48,8903,mittel,arbeitslos,1
34,12,10588,gering,arbeitslos,0
67,36,4716,gering,arbeitslos,1
61,48,13545,gering,mittel,0
46,36,363,gering,mittel,1
33,12,2966,gering,mittel,1
66,36,4744,keins,lang,1
40,60,12823,hoch,mittel,0
49,24,13318,gering,mittel,0
39,60,11685,gering,mittel,0
50,48,14597,mittel,lang,0
25,24,2511,gering,mittel,1
51,6,6655,hoch,arbeitslos,1
26,36,13568,mittel,lang,0
32,18,14871,keins,mittel,0
43,6,10649,hoch,lang,1
50,12,4319,mittel,kurz,1
46,24,9850,mittel,lang,0
20,18,3805,gering,arbeitslos,0
35,60,13547,keins,kurz,0
45,18,9952,gering,lang,1
20,12,13477,mittel,kurz,0
26,6,10757,keins,kurz,0
56,6,8695,keins,kurz,1
38,48,1952,gering,mittel,1
67,6,11320,hoch,kurz,1
55,12,2720,mittel,arbeitslos,1
39,60,8465,gering,kurz,0
44,12,11121,gering,mittel,0
49,60,10237,hoch,kurz,0
38,60,11965,mittel,mittel,0
24,36,1953,gering,lang,0
68,6,8061,gering,arbeitslos,1
33,6,14026,mittel,kurz,0
19,6,12116,gering,mittel,0
44,24,5826,hoch,lang,1
47,24,6546,mittel,mittel,1
20,6,2595,gering,mittel,0
40,6,10039,mittel,kurz,1
47,6,12895,mittel,kurz,0
27,18,3359,gering,lang,1
59,18,4310,keins,kurz,1
39,48,7603,gering,lang,0
73,6,2173,gering,lang,1
50,12,10699,gering,mittel,1
50,6,10632,gering,mittel,1
65,36,2516,gering,arbeitslos,1
62,18,11740,mittel,arbeitslos,1
58,24,13677,gering,kurz,0
44,24,708,gering,arbeitslos,1
66,60,4381,keins,mittel,1
31,12,1473,mittel,arbeitslos,1
21,60,4309,mittel,lang,0
50,48,2354,gering,lang,1
51,6,4575,gering,lang,1
51,6,10475,gering,mittel,1
60,36,5818,gering,kurz,1
60,60,11093,keins,kurz,0
31,24,13310,gering,arbeitslos,0
61,18,10374,mittel,lang,1
24,18,7525,mittel,lang,0
22,18,5182,mittel,mittel,0
56,60,11915,gering,arbeitslos,0
24,48,10138,gering,lang,0
69,36,9659,mittel,lang,1
21,60,8976,gering,kurz,0
45,48,4860,gering,mittel,1
58,36,13642,mittel,arbeitslos,0
38,6,11671,gering,mittel,0
36,60,14008,gering,lang,0
38,36,13506,gering,kurz,0
48,18,4675,gering,kurz,1
28,6,14402,keins,kurz,0
70,36,2455,gering,mittel,1
41,48,4301,gering,kurz,0
65,48,1519,gering,mittel,1
21,12,6123,mittel,mittel,0
70,60,13415,gering,kurz,0
68,18,11246,gering,mittel,1
27,12,6520,mittel,lang,0
67,24,299,gering,mittel,1
37,12,7327,mittel,mittel,1
54,18,10905,gering,arbeitslos,1
58,60,5454,mittel,mittel,1
45,36,3987,gering,lang,1
60,60,10509,gering,kurz,0
46,18,1820,gering,lang,1
61,6,9065,mittel,lang,1
69,6,9157,hoch,lang,1
26,24,13277,keins,kurz,0
60,24,9703,mittel,lang,1
66,18,2684,gering,mittel,1
26,12,13644,gering,mittel,0
36,12,1855,gering,mittel,1
39,12,9404,mittel,arbeitslos,1
64,48,12887,gering,kurz,0
31,12,4194,hoch,kurz,1
45,36,5547,keins,mittel,1
65,24,3697,gering,arbeitslos,1
58,12,706,gering,mittel,1
71,6,8215,hoch,kurz,1
34,6,5309,mittel,kurz,1
58,18,5368,gering,kurz,1
27,18,5067,gering,kurz,1
45,60,4533,mittel,mittel,0
35,60,588,gering,kurz,1
21,24,8199,keins,kurz,0
74,6,6203,gering,lang,1
71,12,14457,gering,mittel,1
22,60,7654,keins,mittel,0
58,36,1348,gering,arbeitslos,1
70,48,7774,gering,arbeitslos,1
74,18,12522,keins,mittel,1
19,48,9334,gering,kurz,0
32,60,9703,keins,arbeitslos,0
26,36,8489,gering,lang,0
25,48,611,gering,lang,0
48,18,6009,mittel,arbeitslos,1
43,36,4693,gering,lang,1
57,36,2574,gering,mittel,1
34,48,12242,mittel,lang,0
29,48,3526,gering,lang,0
43,18,12109,gering,kurz,0
51,18,4640,mittel,lang,1
72,24,1848,hoch,mittel,1
70,12,2395,gering,lang,1
69,48,9120,gering,kurz,1
66,12,9382,keins,mittel,1
39,48,8449,mittel,mittel,0
70,36,12748,gering,mittel,1
70,60,12341,gering,mittel,0
28,24,14142,gering,arbeitslos,0
74,60,14688,gering,arbeitslos,0
68,60,7024,gering,mittel,1
27,18,1809,keins,mittel,1
19,18,8152,keins,kurz,0
52,36,9743,gering,lang,0
49,24,3424,gering,kurz,1
39,36,13879,gering,lang,0
42,12,12125,mittel,mittel,0
37,18,7725,mittel,mittel,1
66,24,9741,gering,kurz,1
39,18,4383,gering,mittel,1
43,36,12424,mittel,mittel,0
38,24,5114,gering,arbeitslos,1
71,60,8370,gering,mittel,1
44,48,14458,mittel,mittel,0
25,60,12285,gering,arbeitslos,0
21,60,1392,gering,kurz,0
58,60,6571,hoch,lang,1
74,12,9196,gering,kurz,1
66,48,1303,mittel,mittel,1
26,24,5898,gering,arbeitslos,0
71,36,11648,gering,mittel,1
48,18,12261,gering,mittel,0
29,36,9970,hoch,lang,0
26,24,2836,gering,arbeitslos,1
55,48,14498,mittel,mittel,0
35,24,6800,gering,mittel,0
26,48,13225,gering,lang,0
65,60,9879,mittel,kurz,0
62,36,14778,gering,mittel,0
48,12,12947,keins,kurz,0
61,12,13925,hoch,kurz,1
61,6,12968,gering,mittel,1
34,6,7499,gering,arbeitslos,1
73,48,14422,gering,lang,0
22,18,5558,gering,kurz,0
39,18,13038,hoch,mittel,0
68,18,7500,gering,kurz,1
52,18,10306,gering,kurz,1
58,6,12418,gering,arbeitslos,1
53,12,7309,gering,arbeitslos,1
31,48,6467,mittel,lang,0
61,18,419,gering,kurz,1
45,48,10645,keins,lang,0
26,6,433,hoch,lang,1
59,12,11254,mittel,mittel,1
60,12,10064,gering,mittel,1
47,12,4363,gering,mittel,1
34,60,12482,mittel,mittel,0
61,60,8524,gering,mittel,0
71,48,3987,hoch,kurz,1
64,6,11418,mittel,mittel,1
23,48,14646,hoch,mittel,0
55,6,6969,gering,kurz,1
58,36,3684,gering,mittel,1
58,36,12094,gering,mittel,0
60,6,6463,keins,mittel,1
28,18,10429,keins,mittel,0
33,12,6162,gering,lang,1
39,36,6470,gering,kurz,0
52,36,10261,hoch,arbeitslos,0
40,12,3520,gering,arbeitslos,1
40,36,10429,gering,kurz,0
27,60,4734,keins,lang,0
44,24,1574,gering,mittel,1
31,24,10245,keins,mittel,0
72,36,11530,gering,mittel,1
36,18,9825,keins,kurz,0
19,24,6954,keins,kurz,0
41,18,2719,hoch,mittel,1
51,6,6702,hoch,kurz,1
65,12,12948,mittel,kurz,1
49,60,4779,hoch,kurz,0
39,36,11230,gering,kurz,0
41,24,11845,gering,mittel,0
34,48,2697,gering,mittel,0
45,18,14252,gering,mittel,0
55,36,6431,gering,arbeitslos,1
56,6,7120,hoch,mittel,1
70,6,2011,gering,lang,1
32,24,8304,gering,mittel,0
55,60,10971,gering,kurz,0
65,36,13575,gering,lang,0
25,36,9618,hoch,lang,0
30,48,5487,gering,kurz,0
46,60,765,gering,mittel,1
21,36,14366,mittel,mittel,0
40,60,13812,mittel,mittel,0
69,6,291,gering,kurz,1
39,6,12147,gering,lang,0
47,12,8715,gering,kurz,1
38,6,6404,gering,kurz,1
21,6,8345,keins,mittel,0
45,12,1987,keins,mittel,1
39,36,650,gering,kurz,1
59,6,1031,mittel,kurz,1
51,12,2762,gering,kurz,1
48,36,8767,gering,lang,0
66,48,3517,gering,lang,1
57,18,4981,mittel,kurz,1
59,12,8240,gering,lang,1
27,12,3689,mittel,mittel,1
66,36,5178,gering,arbeitslos,1
56,24,5101,gering,kurz,1
41,18,3495,gering,mittel,1
72,6,8676,gering,arbeitslos,1
41,24,757,gering,arbeitslos,1
19,36,8362,mittel,lang,0
39,36,12638,gering,arbeitslos,0
50,36,11992,gering,mittel,0
63,24,12217,hoch,mittel,1
44,36,8372,keins,mittel,0
51,18,6949,mittel,kurz,1
27,24,7938,gering,mittel,0
35,48,1955,mittel,arbeitslos,1
24,18,6035,hoch,kurz,0
64,48,1737,hoch,mittel,1
25,48,1889,mittel,mittel,0
25,18,3224,gering,lang,1
55,36,5204,keins,mittel,1
23,18,7033,gering,kurz,0
51,24,4834,gering,mittel,1
68,36,6190,gering,mittel,1
28,6,8494,gering,mittel,0
35,12,5775,mittel,kurz,1
58,60,12344,gering,lang,0
46,6,6979,gering,arbeitslos,1
65,24,2256,gering,lang,1
64,36,10942,mittel,arbeitslos,1
40,24,1322,keins,kurz,1
39,60,11102,gering,mittel,0
65,36,4227,gering,kurz,1
74,48,10418,gering,mittel,1
50,12,9647,gering,kurz,1
50,18,11098,gering,mittel,1
69,18,11742,mittel,mittel,1
54,18,9919,gering,lang,1
49,60,2853,keins,mittel,1
24,48,7132,mittel,kurz,0
72,12,9714,keins,lang,1
39,48,8234,gering,kurz,0
53,24,4493,mittel,mittel,1
32,6,4859,gering,lang,1
41,6,401,gering,kurz,1
60,6,12107,gering,lang,1
42,12,3587,gering,mittel,1
48,24,12185,gering,mittel,0
28,60,14456,gering,lang,0
23,24,1595,keins,kurz,0
60,24,7166,mittel,mittel,1
48,60,4082,mittel,lang,0
25,6,5204,gering,lang,1
24,6,2759,gering,mittel,0
26,60,10052,keins,mittel,0
70,6,14677,gering,kurz,1
44,6,10677,gering,mittel,1
36,12,13913,keins,mittel,0
54,6,5324,gering,kurz,1
44,24,2694,gering,mittel,1
54,48,10442,mittel,mittel,0
59,24,4950,gering,mittel,1
22,48,9780,gering,arbeitslos,0
72,24,4519,mittel,mittel,1
31,36,8210,keins,lang,0
73,24,14569,gering,kurz,1
42,12,7089,gering,mittel,1
73,12,9034,mittel,mittel,1
49,48,11367,gering,kurz,0
40,60,13293,mittel,mittel,0
58,6,4807,gering,kurz,1
36,60,8333,gering,lang,0
52,24,8734,mittel,mittel,1
41,24,5620,gering,arbeitslos,1
57,48,14616,gering,lang,0
65,48,9471,gering,lang,1
55,24,7926,hoch,mittel,1
65,60,4293,mittel,mittel,1
19,12,3411,hoch,kurz,0
60,12,8562,gering,mittel,1
38,24,4692,keins,lang,1
65,6,14600,gering,mittel,1
43,48,13508,gering,kurz,0
24,60,3155,hoch,lang,0
70,6,11840,gering,mittel,1
48,12,5023,mittel,lang,1
38,36,7377,keins,arbeitslos,0
27,24,7508,gering,arbeitslos,0
74,60,9936,gering,kurz,1
66,12,8572,gering,mittel,1
67,24,13864,keins,arbeitslos,1
36,12,3961,gering,kurz,1
58,12,779,gering,lang,1
21,18,1413,hoch,lang,0
54,36,2218,mittel,mittel,1
24,60,4989,gering,lang,0
62,12,779,gering,arbeitslos,1
56,18,12302,gering,mittel,1
19,12,4176,gering,kurz,0
37,18,5064,gering,kurz,1
56,48,12112,gering,kurz,0
46,18,13778,gering,mittel,0
65,60,4103,gering,kurz,1
27,36,1582,mittel,kurz,1
65,24,12604,mittel,lang,1
28,24,6288,gering,mittel,0
42,60,4744,gering,mittel,0
44,18,11762,gering,mittel,0
26,12,9502,gering,mittel,0
23,36,10687,gering,arbeitslos,0
31,60,4768,gering,lang,0
40,36,10094,gering,mittel,0
52,48,10166,gering,lang,0
43,36,11972,gering,kurz,0
41,12,9936,mittel,mittel,1
59,24,14218,gering,mittel,0
66,36,14357,hoch,lang,0
39,24,13028,hoch,kurz,0
21,48,5688,keins,kurz,0
26,24,14160,gering,mittel,0
64,12,5514,hoch,mittel,1
68,6,7619,keins,mittel,1
57,24,6068,gering,lang,1
69,36,3885,keins,mittel,1
57,48,7888,gering,arbeitslos,1
40,12,10837,gering,kurz,0
63,12,1386,gering,mittel,1
29,12,4238,gering,lang,1
41,60,13157,gering,kurz,0
67,36,4037,mittel,arbeitslos,1
34,48,13499,keins,lang,0
70,18,2094,hoch,lang,1
69,12,2976,keins,arbeitslos,1
46,24,3954,gering,mittel,1
53,12,5265,gering,kurz,1
60,60,4994,hoch,kurz,1
47,48,12975,gering,mittel,0
74,60,786,gering,mittel,1
56,60,9538,mittel,mittel,0
24,48,5649,gering,arbeitslos,0
67,18,6536,gering,mittel,1
32,24,7184,keins,kurz,0
47,60,3211,mittel,mittel,1
67,24,14935,keins,kurz,1
46,24,2818,hoch,arbeitslos,1
28,12,1136,gering,mittel,1
64,12,1907,keins,kurz,1
65,24,6392,gering,kurz,1
22,48,6485,gering,arbeitslos,0
42,18,8275,gering,mittel,1
20,6,6276,gering,mittel,0
64,24,11176,mittel,arbeitslos,1
47,18,3796,gering,lang,1
43,18,3845,mittel,mittel,1
49,60,7446,gering,kurz,0
65,18,11951,hoch,kurz,1
69,24,11523,gering,kurz,1
64,48,5087,hoch,mittel,1
33,60,3165,mittel,arbeitslos,0
56,24,4046,mittel,mittel,1
51,60,4836,gering,mittel,1
68,6,12031,gering,lang,1
67,18,10446,gering,kurz,1
26,60,7850,hoch,mittel,0
58,12,3298,hoch,mittel,1
34,36,14938,mittel,kurz,0
56,36,772,gering,mittel,1
62,18,1950,mittel,lang,1
59,36,7056,gering,lang,1
